word,book1_count,book2_count,book1_per_10k,book2_per_10k,g2_score,distinctive_to
which,73,118,98.1578593518892,68.88097600840581,5.477880026770826,Book 1
dream,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
totally,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
makes,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
thinketh,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
intellectual,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
process,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
grace,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
alter,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
useless,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
serenity,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
surely,4,1,5.378512841199408,0.5837370848169984,5.276903886737386,Book 1
spirit,3,23,4.033884630899556,13.425952950790965,5.15878552408582,Book 2
where,3,23,4.033884630899556,13.425952950790965,5.15878552408582,Book 2
reality,1,14,1.344628210299852,8.172319187437978,5.137596349921253,Book 2
your,37,128,49.75124378109452,74.71834685657579,5.096086996678665,Book 2
passionate,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
service,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
dislike,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
conduct,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
trial,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
trust,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
daily,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
ceased,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
waters,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
shut,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
freed,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
manifested,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
silence,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
unchangeable,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
vain,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
living,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
holiness,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
universal,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
else,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
saviors,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
ceaselessly,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
weary,0,7,0.0,4.086159593718989,5.047771335462796,Book 2
accomplish,6,3,8.067769261799112,1.7512112544509952,5.045802440042866,Book 1
powers,5,2,6.72314105149926,1.1674741696339968,5.01621855554078,Book 1
blessedness,5,2,6.72314105149926,1.1674741696339968,5.01621855554078,Book 1
will,53,171,71.26529514589217,99.81904150370673,4.8598781430650035,Book 2
seeking,2,18,2.689256420599704,10.507267526705972,4.756573464058697,Book 2
light,4,26,5.378512841199408,15.177164205241958,4.748214857976128,Book 2
selfish,3,22,4.033884630899556,12.842215865973966,4.688038082037458,Book 2
always,9,7,12.101653892698668,4.086159593718989,4.627307048128579,Book 1
divinity,1,13,1.344628210299852,7.588582102620979,4.5594650277526245,Book 2
believe,1,13,1.344628210299852,7.588582102620979,4.5594650277526245,Book 2
worship,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
overcoming,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
said,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
inseparable,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
passions,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
refuse,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
mortality,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
profound,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
imperishable,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
meditations,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
renounce,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
dead,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
sublime,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
possible,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
look,0,6,0.0,3.5024225089019905,4.326661144682397,Book 2
